Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host_disease,Host,Instrument,Isolate,Isolation_source,lat_lon,Library_ID,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,Strain
SRR14119497,AMPLICON,325,72459906,PRJNA718451,SAMN18537086,Pathogen.cl,35791273,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489884,Mozambique,Africa,Mozambique: Gaza,COVID-19,Homo sapiens,Illumina MiSeq,K008780,Oropharyngeal swab,missing,K008780,K008780,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008780,SRP312925,SARS-CoV-2
SRR14119498,AMPLICON,282,113494630,PRJNA718451,SAMN18537085,Pathogen.cl,56544525,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489883,Mozambique,Africa,Mozambique: Gaza,COVID-19,Homo sapiens,Illumina MiSeq,K008779,Oropharyngeal swab,missing,K008779,K008779,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008779,SRP312925,SARS-CoV-2
SRR14119499,AMPLICON,260,73361888,PRJNA718451,SAMN18537083,Pathogen.cl,37111085,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489882,Mozambique,Africa,Mozambique: Gaza,COVID-19,Homo sapiens,Illumina MiSeq,K008778,Oropharyngeal swab,missing,K008778,K008778,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008778,SRP312925,SARS-CoV-2
SRR14119500,AMPLICON,246,60578851,PRJNA718451,SAMN18537082,Pathogen.cl,30330540,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489881,Mozambique,Africa,Mozambique: Gaza,COVID-19,Homo sapiens,Illumina MiSeq,K008777,Oropharyngeal swab,missing,K008777,K008777,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008777,SRP312925,SARS-CoV-2
SRR14119501,AMPLICON,314,74407477,PRJNA718451,SAMN18537048,Pathogen.cl,37432782,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-08,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489880,Mozambique,Africa,Mozambique: Maputo Cidade,COVID-19,Homo sapiens,Illumina MiSeq,K008776,Oropharyngeal swab,missing,K008776,K008776,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008776,SRP312925,SARS-CoV-2
SRR14119502,AMPLICON,251,67918634,PRJNA718451,SAMN18537046,Pathogen.cl,35674434,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2020-12-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489879,Mozambique,Africa,Mozambique: Nampula,COVID-19,Homo sapiens,Illumina MiSeq,K008820,Oropharyngeal swab,missing,K008820,K008820,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008820,SRP312925,SARS-CoV-2
SRR14119503,AMPLICON,298,61966714,PRJNA718451,SAMN18537044,Pathogen.cl,32137915,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2020-12-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489878,Mozambique,Africa,Mozambique: Nampula,COVID-19,Homo sapiens,Illumina MiSeq,K008819,Oropharyngeal swab,missing,K008819,K008819,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008819,SRP312925,SARS-CoV-2
SRR14119504,AMPLICON,278,70637632,PRJNA718451,SAMN18537045,Pathogen.cl,35121559,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-30,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489877,Mozambique,Africa,Mozambique: Nampula,COVID-19,Homo sapiens,Illumina MiSeq,K008818,Oropharyngeal swab,missing,K008818,K008818,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008818,SRP312925,SARS-CoV-2
SRR14119505,AMPLICON,330,65442022,PRJNA718451,SAMN18537043,Pathogen.cl,32084495,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-05,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489876,Mozambique,Africa,Mozambique: Nampula,COVID-19,Homo sapiens,Illumina MiSeq,K008817,Oropharyngeal swab,missing,K008817,K008817,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008817,SRP312925,SARS-CoV-2
SRR14119506,AMPLICON,316,73410853,PRJNA718451,SAMN18537042,Pathogen.cl,37700102,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2020-12-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489875,Mozambique,Africa,Mozambique: Zambezia,COVID-19,Homo sapiens,Illumina MiSeq,K008816,Oropharyngeal swab,missing,K008816,K008816,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008816,SRP312925,SARS-CoV-2
SRR14119507,AMPLICON,288,65007569,PRJNA718451,SAMN18537071,Pathogen.cl,33198205,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489874,Mozambique,Africa,Mozambique: Zambezia,COVID-19,Homo sapiens,Illumina MiSeq,K008815,Oropharyngeal swab,missing,K008815,K008815,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008815,SRP312925,SARS-CoV-2
SRR14119508,AMPLICON,283,73753914,PRJNA718451,SAMN18537073,Pathogen.cl,38236595,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489873,Mozambique,Africa,Mozambique: Zambezia,COVID-19,Homo sapiens,Illumina MiSeq,K008814,Oropharyngeal swab,missing,K008814,K008814,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008814,SRP312925,SARS-CoV-2
SRR14119509,AMPLICON,195,36157875,PRJNA718451,SAMN18537072,Pathogen.cl,19314479,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489872,Mozambique,Africa,Mozambique: Zambezia,COVID-19,Homo sapiens,Illumina MiSeq,K008813,Oropharyngeal swab,missing,K008813,K008813,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008813,SRP312925,SARS-CoV-2
SRR14119510,AMPLICON,230,76149598,PRJNA718451,SAMN18537074,Pathogen.cl,38043396,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,Missing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489871,Mozambique,Africa,Mozambique: Maputo Cidade,COVID-19,Homo sapiens,Illumina MiSeq,K008775,Oropharyngeal swab,missing,K008775,K008775,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008775,SRP312925,SARS-CoV-2
SRR14119511,AMPLICON,276,55185379,PRJNA718451,SAMN18537088,Pathogen.cl,29969303,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-21,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489870,Mozambique,Africa,Mozambique: Zambezia,COVID-19,Homo sapiens,Illumina MiSeq,K008812,Oropharyngeal swab,missing,K008812,K008812,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008812,SRP312925,SARS-CoV-2
SRR14119512,AMPLICON,319,43424002,PRJNA718451,SAMN18537066,Pathogen.cl,21408925,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489869,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008810,Oropharyngeal swab,missing,K008810,K008810,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008810,SRP312925,SARS-CoV-2
SRR14119513,AMPLICON,283,65268455,PRJNA718451,SAMN18537065,Pathogen.cl,31978998,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489868,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008809,Oropharyngeal swab,missing,K008809,K008809,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008809,SRP312925,SARS-CoV-2
SRR14119514,AMPLICON,268,44402285,PRJNA718451,SAMN18537067,Pathogen.cl,23072849,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489867,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008808,Oropharyngeal swab,missing,K008808,K008808,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008808,SRP312925,SARS-CoV-2
SRR14119515,AMPLICON,267,61973196,PRJNA718451,SAMN18537087,Pathogen.cl,30891106,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-23,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489866,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008807,Oropharyngeal swab,missing,K008807,K008807,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008807,SRP312925,SARS-CoV-2
SRR14119516,AMPLICON,290,71872162,PRJNA718451,SAMN18537063,Pathogen.cl,36347475,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489865,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008806,Oropharyngeal swab,missing,K008806,K008806,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008806,SRP312925,SARS-CoV-2
SRR14119517,AMPLICON,335,76979645,PRJNA718451,SAMN18537064,Pathogen.cl,38420651,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-16,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489864,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008805,Oropharyngeal swab,missing,K008805,K008805,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008805,SRP312925,SARS-CoV-2
SRR14119518,AMPLICON,336,70570325,PRJNA718451,SAMN18537068,Pathogen.cl,36353471,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-17,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489863,Mozambique,Africa,Mozambique: Tete,COVID-19,Homo sapiens,Illumina MiSeq,K008804,Oropharyngeal swab,missing,K008804,K008804,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008804,SRP312925,SARS-CoV-2
SRR14119519,AMPLICON,312,72744732,PRJNA718451,SAMN18537050,Pathogen.cl,35963785,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-09,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489862,Mozambique,Africa,Mozambique: Maputo Cidade,COVID-19,Homo sapiens,Illumina MiSeq,K008803,Oropharyngeal swab,missing,K008803,K008803,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008803,SRP312925,SARS-CoV-2
SRR14119520,AMPLICON,312,132443228,PRJNA718451,SAMN18537076,Pathogen.cl,69010942,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489861,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008802,Oropharyngeal swab,missing,K008802,K008802,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008802,SRP312925,SARS-CoV-2
SRR14119521,AMPLICON,298,83111275,PRJNA718451,SAMN18537077,Pathogen.cl,42984958,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,Missing,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489860,Mozambique,Africa,Mozambique: Maputo Cidade,COVID-19,Homo sapiens,Illumina MiSeq,K008774,Oropharyngeal swab,missing,K008774,K008774,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008774,SRP312925,SARS-CoV-2
SRR14119522,AMPLICON,326,190903301,PRJNA718451,SAMN18537059,Pathogen.cl,93525486,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489859,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008801,Oropharyngeal swab,missing,K008801,K008801,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008801,SRP312925,SARS-CoV-2
SRR14119523,AMPLICON,295,100469793,PRJNA718451,SAMN18537069,Pathogen.cl,50445327,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489858,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008800,Oropharyngeal swab,missing,K008800,K008800,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008800,SRP312925,SARS-CoV-2
SRR14119524,AMPLICON,304,62064095,PRJNA718451,SAMN18537060,Pathogen.cl,30771171,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489857,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008799,Oropharyngeal swab,missing,K008799,K008799,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008799,SRP312925,SARS-CoV-2
SRR14119525,AMPLICON,317,34339362,PRJNA718451,SAMN18537070,Pathogen.cl,17089231,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489856,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008798,Oropharyngeal swab,missing,K008798,K008798,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008798,SRP312925,SARS-CoV-2
SRR14119526,AMPLICON,345,62015229,PRJNA718451,SAMN18537075,Pathogen.cl,32018722,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-22,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489855,Mozambique,Africa,Mozambique: Niassa,COVID-19,Homo sapiens,Illumina MiSeq,K008797,Oropharyngeal swab,missing,K008797,K008797,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008797,SRP312925,SARS-CoV-2
SRR14119527,AMPLICON,260,42518618,PRJNA718451,SAMN18537054,Pathogen.cl,21756571,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489854,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008796,Oropharyngeal swab,missing,K008796,K008796,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008796,SRP312925,SARS-CoV-2
SRR14119528,AMPLICON,321,78190844,PRJNA718451,SAMN18537047,Pathogen.cl,40773757,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-07,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489853,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008795,Oropharyngeal swab,missing,K008795,K008795,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008795,SRP312925,SARS-CoV-2
SRR14119529,AMPLICON,333,70166650,PRJNA718451,SAMN18537055,Pathogen.cl,34506699,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489852,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008794,Oropharyngeal swab,missing,K008794,K008794,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008794,SRP312925,SARS-CoV-2
SRR14119530,AMPLICON,295,79949590,PRJNA718451,SAMN18537051,Pathogen.cl,40701293,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489851,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008793,Oropharyngeal swab,missing,K008793,K008793,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008793,SRP312925,SARS-CoV-2
SRR14119531,AMPLICON,345,74459206,PRJNA718451,SAMN18537053,Pathogen.cl,37843095,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489850,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008792,Oropharyngeal swab,missing,K008792,K008792,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008792,SRP312925,SARS-CoV-2
SRR14119532,AMPLICON,237,91570459,PRJNA718451,SAMN18537049,Pathogen.cl,47330881,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489849,Mozambique,Africa,Mozambique: Maputo Cidade,COVID-19,Homo sapiens,Illumina MiSeq,K008773,Oropharyngeal swab,missing,K008773,K008773,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008773,SRP312925,SARS-CoV-2
SRR14119533,AMPLICON,351,60086034,PRJNA718451,SAMN18537052,Pathogen.cl,30355207,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-10,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489848,Mozambique,Africa,Mozambique: Manica,COVID-19,Homo sapiens,Illumina MiSeq,K008791,Oropharyngeal swab,missing,K008791,K008791,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008791,SRP312925,SARS-CoV-2
SRR14119534,AMPLICON,291,83767659,PRJNA718451,SAMN18537061,Pathogen.cl,41199975,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-18,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489847,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008790,Oropharyngeal swab,missing,K008790,K008790,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008790,SRP312925,SARS-CoV-2
SRR14119535,AMPLICON,308,76199620,PRJNA718451,SAMN18537079,Pathogen.cl,38691522,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489846,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008789,Oropharyngeal swab,missing,K008789,K008789,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008789,SRP312925,SARS-CoV-2
SRR14119536,AMPLICON,266,92380192,PRJNA718451,SAMN18537080,Pathogen.cl,45262094,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-26,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489845,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008788,Oropharyngeal swab,missing,K008788,K008788,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008788,SRP312925,SARS-CoV-2
SRR14119537,AMPLICON,306,70868466,PRJNA718451,SAMN18537081,Pathogen.cl,34694376,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-28,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489844,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008787,Oropharyngeal swab,missing,K008787,K008787,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008787,SRP312925,SARS-CoV-2
SRR14119538,AMPLICON,288,31585657,PRJNA718451,SAMN18537089,Pathogen.cl,15908808,KWAZULU-NATAL RESEARCH INNOVATION AND SEQUENCING PLATFORM-UKZN,Africa Centres for Disease Control and Prevention,2021-01-27,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX10489843,Mozambique,Africa,Mozambique: Inhambane,COVID-19,Homo sapiens,Illumina MiSeq,K008786,Oropharyngeal swab,missing,K008786,K008786,PAIRED,RT-PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-03-31T00:00:00Z,K008786,SRP312925,SARS-CoV-2
